Ranges: [0.000040-0.000065, 0.000065-0.000105, 0.000105-0.000169, 0.000169-0.000274, 0.000274-0.000443, 0.000443-0.000718, 0.000718-0.001161, 0.001161-0.001879, 0.001879-0.003040, 0.003040-0.004918, 0.004918-0.007958, 0.007958-0.012876, 0.012876-0.020833, 0.020833-0.033709, 0.033709-0.054543, 0.054543-0.088252, 0.088252-0.142794, 0.142794-0.231046, 0.231046-0.373840, 0.373840-0.604886, 0.604886-0.978727, 0.978727-0.999960]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455]
Range_scores: [1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043174, 0.043174, 0.043174, 0.054918, 0.069857, 0.054918, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174, 0.043174]
Range_scores: [1.000000, 1.000000, 1.000000, 1.270796, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043176, 0.043176, 0.043176, 0.054868, 0.069861, 0.054921, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176]
Range_scores: [0.999038, 1.000000, 1.000000, 1.270796, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043137, 0.043178, 0.043178, 0.054871, 0.069864, 0.054923, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178]
Range_scores: [0.999038, 1.000000, 1.000000, 1.270796, 1.618034, 1.272020, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.041076, 0.041115, 0.041115, 0.052249, 0.066526, 0.052299, 0.052299, 0.066526, 0.052299, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115, 0.041115]
Range_scores: [0.999038, 1.000000, 1.000000, 1.270796, 1.618034, 1.272020, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.041077, 0.041117, 0.041117, 0.052251, 0.066528, 0.052301, 0.052301, 0.066528, 0.052301, 0.041117, 0.041117, 0.041117, 0.041117, 0.041077, 0.041117, 0.041117, 0.041117, 0.041117, 0.041117, 0.041117, 0.041117, 0.041117]
Range_scores: [0.999038, 1.000000, 1.000000, 1.270796, 1.618034, 1.272020, 1.272020, 1.616478, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 500, 0, 0, 0, 500, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.041080, 0.041119, 0.041119, 0.052254, 0.066533, 0.052305, 0.052305, 0.066469, 0.052305, 0.041119, 0.041119, 0.041119, 0.041119, 0.041080, 0.041119, 0.041119, 0.041119, 0.041119, 0.041119, 0.041119, 0.041119, 0.041119]
Range_scores: [0.999038, 1.000000, 1.000000, 1.270796, 1.618034, 1.272020, 1.272020, 1.616478, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 0, 0, 500, 0, 0, 0, 500, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 500]
Range_probabilities: [0.041081, 0.041121, 0.041121, 0.052256, 0.066535, 0.052307, 0.052307, 0.066471, 0.052307, 0.041121, 0.041121, 0.041121, 0.041121, 0.041081, 0.041121, 0.041121, 0.041121, 0.041121, 0.041121, 0.041121, 0.041121, 0.041081]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.272020, 1.272020, 1.616478, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 0, 0, 500, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 500]
Range_probabilities: [0.041083, 0.041083, 0.041123, 0.052258, 0.066538, 0.052309, 0.052309, 0.066474, 0.052309, 0.041123, 0.041123, 0.041123, 0.041123, 0.041083, 0.041123, 0.041123, 0.041123, 0.041123, 0.041123, 0.041123, 0.041123, 0.041083]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.272020, 1.272020, 1.616478, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 0, 0, 500, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 0, 0, 0, 500]
Range_probabilities: [0.041085, 0.041085, 0.041124, 0.052261, 0.066540, 0.052311, 0.052311, 0.066476, 0.052311, 0.041124, 0.041124, 0.041124, 0.041124, 0.041045, 0.041124, 0.041124, 0.041124, 0.041124, 0.041124, 0.041124, 0.041124, 0.041085]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 500, 0, 500, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 0, 0, 0, 500]
Range_probabilities: [0.041087, 0.041087, 0.041126, 0.052263, 0.066544, 0.052263, 0.052313, 0.066480, 0.052313, 0.041126, 0.041126, 0.041126, 0.041126, 0.041047, 0.041126, 0.041126, 0.041126, 0.041126, 0.041126, 0.041126, 0.041126, 0.041087]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.272020, 1.000000, 1.000000, 1.000000, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 500, 0, 500, 0, 0, 0, 0, 500, 1000, 0, 0, 0, 0, 0, 0, 0, 500]
Range_probabilities: [0.041088, 0.041088, 0.041128, 0.052265, 0.066546, 0.052265, 0.052316, 0.066482, 0.052316, 0.041128, 0.041128, 0.041128, 0.041088, 0.041049, 0.041128, 0.041128, 0.041128, 0.041128, 0.041128, 0.041128, 0.041128, 0.041088]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.272020, 1.000000, 1.000000, 1.000000, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 500, 0, 500, 0, 0, 0, 0, 500, 1000, 0, 0, 0, 500, 0, 0, 0, 500]
Range_probabilities: [0.041090, 0.041090, 0.041130, 0.052267, 0.066549, 0.052267, 0.052318, 0.066485, 0.052318, 0.041130, 0.041130, 0.041130, 0.041090, 0.041050, 0.041130, 0.041130, 0.041130, 0.041090, 0.041130, 0.041130, 0.041130, 0.041090]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.270796, 1.000000, 1.000000, 1.000000, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 500, 0, 500, 500, 0, 0, 0, 500, 1000, 0, 0, 0, 500, 0, 0, 0, 500]
Range_probabilities: [0.041092, 0.041092, 0.041132, 0.052270, 0.066552, 0.052270, 0.052320, 0.066488, 0.052270, 0.041132, 0.041132, 0.041132, 0.041092, 0.041053, 0.041132, 0.041132, 0.041132, 0.041092, 0.041132, 0.041132, 0.041132, 0.041092]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.270796, 1.272020, 1.618034, 1.272020, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 500, 0, 500, 500, 0, 0, 0, 500, 1000, 0, 0, 0, 500, 0, 0, 0, 500]
Range_probabilities: [0.039218, 0.039218, 0.039255, 0.049885, 0.063516, 0.049885, 0.049934, 0.063455, 0.049885, 0.049934, 0.063516, 0.049934, 0.039218, 0.039180, 0.039255, 0.039255, 0.039255, 0.039218, 0.039255, 0.039255, 0.039255, 0.039218]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.269574, 1.272020, 1.618034, 1.272020, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 500, 0, 500, 1000, 0, 0, 0, 500, 1000, 0, 0, 0, 500, 0, 0, 0, 500]
Range_probabilities: [0.039219, 0.039219, 0.039257, 0.049888, 0.063519, 0.049888, 0.049936, 0.063458, 0.049840, 0.049936, 0.063519, 0.049936, 0.039219, 0.039182, 0.039257, 0.039257, 0.039257, 0.039219, 0.039257, 0.039257, 0.039257, 0.039219]
Range_scores: [0.999038, 0.999038, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.269574, 1.272020, 1.618034, 1.272020, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038]
Miss_counts: [500, 500, 0, 500, 0, 500, 0, 500, 1000, 0, 0, 0, 500, 1000, 0, 0, 0, 500, 0, 0, 500, 500]
Range_probabilities: [0.039221, 0.039221, 0.039259, 0.049890, 0.063522, 0.049890, 0.049938, 0.063461, 0.049842, 0.049938, 0.063522, 0.049938, 0.039221, 0.039183, 0.039259, 0.039259, 0.039259, 0.039221, 0.039259, 0.039259, 0.039221, 0.039221]
Range_scores: [0.999038, 0.998077, 1.000000, 1.270796, 1.618034, 1.270796, 1.272020, 1.616478, 1.269574, 1.272020, 1.618034, 1.272020, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038]
Miss_counts: [500, 1000, 0, 500, 0, 500, 0, 500, 1000, 0, 0, 0, 500, 1000, 0, 0, 0, 500, 0, 0, 500, 500]
