Minimizer initialized for /home/fuzz/fuzzing/jasper/ie.bmp/ie.bmp.6651 -> /mnt/hgfs/fuzz/seeds/ie.bmp
	confidence level: 0.99900
	starting Hamming Distance is 151
Attempting to minimize crash(es) [307f9bea6adbdafe59015e6475479eb0]
start=151 min=151 target_guess=1 curr=64 chance=0.50331 miss=0/11 total_misses=0/1 u_crashes=0
start=151 min=64 target_guess=1 curr=32 chance=0.50000 miss=0/10 total_misses=0/2 u_crashes=1
start=151 min=64 target_guess=1 curr=31 chance=0.50000 miss=1/10 total_misses=1/3 u_crashes=2
start=151 min=64 target_guess=1 curr=29 chance=0.50000 miss=2/10 total_misses=2/4 u_crashes=2
start=151 min=29 target_guess=1 curr=14 chance=0.44828 miss=0/9 total_misses=2/5 u_crashes=2
start=151 min=29 target_guess=1 curr=15 chance=0.44828 miss=1/9 total_misses=3/6 u_crashes=3
start=151 min=29 target_guess=1 curr=13 chance=0.44828 miss=2/9 total_misses=4/7 u_crashes=3
start=151 min=29 target_guess=1 curr=15 chance=0.44828 miss=3/9 total_misses=5/8 u_crashes=3
start=151 min=15 target_guess=1 curr=5 chance=0.53333 miss=0/11 total_misses=5/9 u_crashes=3
start=151 min=15 target_guess=1 curr=3 chance=0.53333 miss=1/11 total_misses=6/10 u_crashes=3
start=151 min=15 target_guess=1 curr=7 chance=0.53333 miss=2/11 total_misses=7/11 u_crashes=3
start=151 min=15 target_guess=1 curr=6 chance=0.53333 miss=3/11 total_misses=8/12 u_crashes=3
start=151 min=15 target_guess=1 curr=5 chance=0.53333 miss=4/11 total_misses=9/13 u_crashes=3
start=151 min=15 target_guess=1 curr=8 chance=0.53333 miss=5/11 total_misses=10/14 u_crashes=3
start=151 min=15 target_guess=1 curr=6 chance=0.53333 miss=6/11 total_misses=11/15 u_crashes=3
start=151 min=15 target_guess=1 curr=9 chance=0.53333 miss=7/11 total_misses=12/16 u_crashes=3
start=151 min=15 target_guess=1 curr=7 chance=0.53333 miss=8/11 total_misses=13/17 u_crashes=3
start=151 min=15 target_guess=1 curr=6 chance=0.53333 miss=9/11 total_misses=14/18 u_crashes=3
start=151 min=15 target_guess=1 curr=7 chance=0.53333 miss=10/11 total_misses=15/19 u_crashes=3
start=151 min=15 target_guess=1 curr=8 chance=0.53333 miss=11/11 total_misses=16/20 u_crashes=3
start=151 min=8 target_guess=1 curr=6 chance=0.50000 miss=0/10 total_misses=16/21 u_crashes=3
start=151 min=8 target_guess=1 curr=4 chance=0.50000 miss=1/10 total_misses=17/22 u_crashes=3
start=151 min=8 target_guess=1 curr=6 chance=0.50000 miss=2/10 total_misses=18/23 u_crashes=3
start=151 min=6 target_guess=1 curr=4 chance=0.50000 miss=0/10 total_misses=18/24 u_crashes=3
start=151 min=6 target_guess=1 curr=2 chance=0.50000 miss=1/10 total_misses=19/25 u_crashes=3
start=151 min=6 target_guess=1 curr=1 chance=0.50000 miss=2/10 total_misses=20/26 u_crashes=3
start=151 min=6 target_guess=1 curr=3 chance=0.50000 miss=3/10 total_misses=21/27 u_crashes=3
start=151 min=6 target_guess=1 curr=4 chance=0.50000 miss=4/10 total_misses=22/28 u_crashes=3
start=151 min=4 target_guess=1 curr=2 chance=0.50000 miss=0/10 total_misses=22/29 u_crashes=3
start=151 min=4 target_guess=1 curr=1 chance=0.50000 miss=1/10 total_misses=23/30 u_crashes=3
start=151 min=4 target_guess=1 curr=2 chance=0.50000 miss=2/10 total_misses=24/31 u_crashes=3
start=151 min=4 target_guess=1 curr=3 chance=0.50000 miss=3/10 total_misses=25/32 u_crashes=3
start=151 min=3 target_guess=1 curr=1 chance=0.66667 miss=0/18 total_misses=25/33 u_crashes=3
start=151 min=3 target_guess=1 curr=2 chance=0.66667 miss=1/18 total_misses=26/34 u_crashes=3
start=151 min=3 target_guess=1 curr=1 chance=0.66667 miss=2/18 total_misses=27/35 u_crashes=3
start=151 min=3 target_guess=1 curr=1 chance=0.66667 miss=3/18 total_misses=28/36 u_crashes=3
start=151 min=3 target_guess=1 curr=2 chance=0.66667 miss=4/18 total_misses=29/37 u_crashes=3
start=151 min=3 target_guess=1 curr=2 chance=0.66667 miss=5/18 total_misses=30/38 u_crashes=3
start=151 min=3 target_guess=1 curr=2 chance=0.66667 miss=6/18 total_misses=31/39 u_crashes=3
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=0/10 total_misses=31/40 u_crashes=3
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=1/10 total_misses=32/41 u_crashes=3
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=2/10 total_misses=33/42 u_crashes=3
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=3/10 total_misses=34/43 u_crashes=3
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=4/10 total_misses=35/44 u_crashes=3
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=5/10 total_misses=36/45 u_crashes=3
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=6/10 total_misses=37/46 u_crashes=3
Exhaustively searched all files shorter than 2
start=151 min=2 target_guess=1 curr=1 chance=0.50000 miss=7/10 total_misses=38/47 u_crashes=3
We were looking for [307f9bea6adbdafe59015e6475479eb0] ...
	...and found False	10 times
	...and found 96a3be3cf272e017046d1b2674a52bd3	20 times
	...and found 307f9bea6adbdafe59015e6475479eb0	8 times
