Ranges: [0.000047-0.000076, 0.000076-0.000124, 0.000124-0.000200, 0.000200-0.000324, 0.000324-0.000524, 0.000524-0.000847, 0.000847-0.001371, 0.001371-0.002218, 0.002218-0.003588, 0.003588-0.005806, 0.005806-0.009394, 0.009394-0.015200, 0.015200-0.024594, 0.024594-0.039794, 0.039794-0.064388, 0.064388-0.104182, 0.104182-0.168571, 0.168571-0.272753, 0.272753-0.441324, 0.714077-0.714077]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000, 0.050000]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.060108, 0.076459, 0.060108, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254, 0.047254]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.272020, 2.058171, 2.058171, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.044130, 0.044130, 0.044130, 0.044130, 0.056134, 0.090827, 0.090827, 0.056134, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130, 0.044130]
Range_scores: [1.000000, 1.000000, 1.272020, 1.618034, 1.618034, 2.058171, 2.058171, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.041847, 0.041847, 0.053230, 0.067710, 0.067710, 0.086129, 0.086129, 0.053230, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847, 0.041847]
Range_scores: [1.000000, 1.000000, 1.272020, 1.618034, 1.618034, 2.058171, 2.058171, 1.272020, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.039907, 0.039907, 0.050762, 0.064570, 0.064570, 0.082135, 0.082135, 0.050762, 0.050762, 0.064570, 0.050762, 0.039907, 0.039907, 0.039907, 0.039907, 0.039907, 0.039907, 0.039907, 0.039907, 0.039907]
Range_scores: [1.000000, 1.000000, 1.272020, 1.618034, 1.618034, 2.618034, 3.330191, 1.618034, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.036716, 0.036716, 0.046703, 0.059407, 0.059407, 0.096123, 0.122270, 0.059407, 0.046703, 0.059407, 0.046703, 0.036716, 0.036716, 0.036716, 0.036716, 0.036716, 0.036716, 0.036716, 0.036716, 0.036716]
Range_scores: [1.000000, 1.000000, 1.272020, 1.618034, 1.618034, 2.618034, 3.330191, 1.618034, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0]
Range_probabilities: [0.036717, 0.036717, 0.046705, 0.059409, 0.059409, 0.096126, 0.122274, 0.059409, 0.046705, 0.059409, 0.046705, 0.036717, 0.036717, 0.036717, 0.036682, 0.036717, 0.036717, 0.036717, 0.036717, 0.036717]
Range_scores: [1.000000, 1.000000, 1.272020, 1.618034, 1.618034, 2.618034, 3.330191, 1.618034, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 0]
Range_probabilities: [0.036718, 0.036718, 0.046706, 0.059411, 0.059411, 0.096129, 0.122278, 0.059411, 0.046706, 0.059411, 0.046706, 0.036718, 0.036718, 0.036718, 0.036648, 0.036718, 0.036718, 0.036718, 0.036718, 0.036718]
Range_scores: [1.000000, 1.000000, 1.270796, 1.618034, 1.618034, 2.618034, 3.330191, 1.618034, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 0]
Range_probabilities: [0.036720, 0.036720, 0.046663, 0.059414, 0.059414, 0.096134, 0.122284, 0.059414, 0.046708, 0.059414, 0.046708, 0.036720, 0.036720, 0.036720, 0.036649, 0.036720, 0.036720, 0.036720, 0.036720, 0.036720]
Range_scores: [1.000000, 1.000000, 1.270796, 1.618034, 1.618034, 2.618034, 3.330191, 1.618034, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.036721, 0.036721, 0.046665, 0.059416, 0.059416, 0.096137, 0.122288, 0.059416, 0.046710, 0.059416, 0.046710, 0.036721, 0.036721, 0.036721, 0.036650, 0.036721, 0.036721, 0.036686, 0.036721, 0.036721]
Range_scores: [1.000000, 1.000000, 1.270796, 1.618034, 1.618034, 3.330191, 5.388362, 2.058171, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.032849, 0.032849, 0.041744, 0.053150, 0.053150, 0.109392, 0.177000, 0.067608, 0.041784, 0.053150, 0.041784, 0.032849, 0.032849, 0.032849, 0.032785, 0.032849, 0.032849, 0.032817, 0.032849, 0.032849]
Range_scores: [1.000000, 1.000000, 1.270796, 1.618034, 1.618034, 3.330191, 5.388362, 2.058171, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000]
Miss_counts: [0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 500, 500, 0]
Range_probabilities: [0.032850, 0.032850, 0.041745, 0.053152, 0.053152, 0.109395, 0.177005, 0.067610, 0.041785, 0.053152, 0.041785, 0.032850, 0.032850, 0.032850, 0.032786, 0.032850, 0.032850, 0.032818, 0.032818, 0.032850]
