Minimizer initialized for /home/fuzz/fuzzing/jasper/ie.jp2/ie.jp2.18654 -> /mnt/hgfs/fuzz/seeds/ie.jp2
	confidence level: 0.99900
	starting Hamming Distance is 65
Attempting to minimize crash(es) [fea6f1344635757655529e8a175f699c]
start=65 min=65 target_guess=1 curr=34 chance=0.50769 miss=0/11 total_misses=0/1 u_crashes=0
start=65 min=34 target_guess=1 curr=17 chance=0.50000 miss=0/10 total_misses=0/2 u_crashes=1
start=65 min=34 target_guess=1 curr=12 chance=0.50000 miss=1/10 total_misses=1/3 u_crashes=2
start=65 min=34 target_guess=1 curr=23 chance=0.50000 miss=2/10 total_misses=2/4 u_crashes=2
start=65 min=34 target_guess=1 curr=18 chance=0.50000 miss=3/10 total_misses=3/5 u_crashes=2
start=65 min=34 target_guess=1 curr=14 chance=0.50000 miss=4/10 total_misses=4/6 u_crashes=3
start=65 min=34 target_guess=1 curr=18 chance=0.50000 miss=5/10 total_misses=5/7 u_crashes=4
start=65 min=34 target_guess=1 curr=16 chance=0.50000 miss=6/10 total_misses=6/8 u_crashes=4
start=65 min=34 target_guess=1 curr=15 chance=0.50000 miss=7/10 total_misses=7/9 u_crashes=4
start=65 min=34 target_guess=1 curr=18 chance=0.50000 miss=8/10 total_misses=8/10 u_crashes=4
start=65 min=34 target_guess=1 curr=23 chance=0.50000 miss=9/10 total_misses=9/11 u_crashes=4
start=65 min=34 target_guess=1 curr=13 chance=0.50000 miss=10/10 total_misses=10/12 u_crashes=4
start=65 min=34 target_guess=2 curr=24 chance=0.32353 miss=0/12 total_misses=11/13 u_crashes=4
start=65 min=24 target_guess=2 curr=15 chance=0.33333 miss=0/13 total_misses=11/14 u_crashes=4
start=65 min=24 target_guess=2 curr=16 chance=0.33333 miss=1/13 total_misses=12/15 u_crashes=4
start=65 min=24 target_guess=2 curr=15 chance=0.33333 miss=2/13 total_misses=13/16 u_crashes=4
start=65 min=24 target_guess=2 curr=17 chance=0.33333 miss=3/13 total_misses=14/17 u_crashes=4
start=65 min=24 target_guess=2 curr=17 chance=0.33333 miss=4/13 total_misses=15/18 u_crashes=4
start=65 min=24 target_guess=2 curr=13 chance=0.33333 miss=5/13 total_misses=16/19 u_crashes=4
start=65 min=24 target_guess=2 curr=16 chance=0.33333 miss=6/13 total_misses=17/20 u_crashes=4
start=65 min=24 target_guess=2 curr=16 chance=0.33333 miss=7/13 total_misses=18/21 u_crashes=4
start=65 min=16 target_guess=2 curr=10 chance=0.31250 miss=0/12 total_misses=18/22 u_crashes=4
start=65 min=16 target_guess=2 curr=10 chance=0.31250 miss=1/12 total_misses=19/23 u_crashes=4
start=65 min=16 target_guess=2 curr=8 chance=0.31250 miss=2/12 total_misses=20/24 u_crashes=4
start=65 min=16 target_guess=2 curr=11 chance=0.31250 miss=3/12 total_misses=21/25 u_crashes=5
start=65 min=16 target_guess=2 curr=11 chance=0.31250 miss=4/12 total_misses=22/26 u_crashes=5
start=65 min=16 target_guess=2 curr=12 chance=0.31250 miss=5/12 total_misses=23/27 u_crashes=5
start=65 min=16 target_guess=2 curr=8 chance=0.31250 miss=6/12 total_misses=24/28 u_crashes=5
start=65 min=16 target_guess=2 curr=11 chance=0.31250 miss=7/12 total_misses=25/29 u_crashes=5
start=65 min=11 target_guess=2 curr=6 chance=0.36364 miss=0/15 total_misses=25/30 u_crashes=5
start=65 min=11 target_guess=2 curr=7 chance=0.36364 miss=1/15 total_misses=26/31 u_crashes=5
start=65 min=11 target_guess=2 curr=7 chance=0.36364 miss=2/15 total_misses=27/32 u_crashes=5
start=65 min=11 target_guess=2 curr=10 chance=0.36364 miss=3/15 total_misses=28/33 u_crashes=5
start=65 min=11 target_guess=2 curr=4 chance=0.36364 miss=4/15 total_misses=29/34 u_crashes=5
start=65 min=11 target_guess=2 curr=5 chance=0.36364 miss=5/15 total_misses=30/35 u_crashes=5
start=65 min=11 target_guess=2 curr=7 chance=0.36364 miss=6/15 total_misses=31/36 u_crashes=5
start=65 min=11 target_guess=2 curr=9 chance=0.36364 miss=7/15 total_misses=32/37 u_crashes=5
start=65 min=9 target_guess=2 curr=5 chance=0.33333 miss=0/13 total_misses=32/38 u_crashes=5
start=65 min=9 target_guess=2 curr=7 chance=0.33333 miss=1/13 total_misses=33/39 u_crashes=5
start=65 min=9 target_guess=2 curr=8 chance=0.33333 miss=2/13 total_misses=34/40 u_crashes=5
start=65 min=9 target_guess=2 curr=8 chance=0.33333 miss=3/13 total_misses=35/41 u_crashes=5
start=65 min=8 target_guess=2 curr=2 chance=0.37500 miss=0/16 total_misses=35/42 u_crashes=5
start=65 min=8 target_guess=2 curr=6 chance=0.37500 miss=1/16 total_misses=36/43 u_crashes=5
start=65 min=8 target_guess=2 curr=3 chance=0.37500 miss=2/16 total_misses=37/44 u_crashes=5
start=65 min=8 target_guess=2 curr=3 chance=0.37500 miss=3/16 total_misses=38/45 u_crashes=5
start=65 min=8 target_guess=2 curr=5 chance=0.37500 miss=4/16 total_misses=39/46 u_crashes=5
start=65 min=8 target_guess=2 curr=4 chance=0.37500 miss=5/16 total_misses=40/47 u_crashes=5
start=65 min=8 target_guess=2 curr=7 chance=0.37500 miss=6/16 total_misses=41/48 u_crashes=5
start=65 min=8 target_guess=2 curr=4 chance=0.37500 miss=7/16 total_misses=42/49 u_crashes=5
start=65 min=8 target_guess=2 curr=4 chance=0.37500 miss=8/16 total_misses=43/50 u_crashes=5
start=65 min=8 target_guess=2 curr=4 chance=0.37500 miss=9/16 total_misses=44/51 u_crashes=5
start=65 min=8 target_guess=2 curr=5 chance=0.37500 miss=10/16 total_misses=45/52 u_crashes=5
start=65 min=8 target_guess=2 curr=4 chance=0.37500 miss=11/16 total_misses=46/53 u_crashes=5
start=65 min=8 target_guess=2 curr=6 chance=0.37500 miss=12/16 total_misses=47/54 u_crashes=5
start=65 min=8 target_guess=2 curr=5 chance=0.37500 miss=13/16 total_misses=48/55 u_crashes=5
start=65 min=8 target_guess=2 curr=6 chance=0.37500 miss=14/16 total_misses=49/56 u_crashes=5
start=65 min=8 target_guess=2 curr=4 chance=0.37500 miss=15/16 total_misses=50/57 u_crashes=5
start=65 min=8 target_guess=2 curr=4 chance=0.37500 miss=16/16 total_misses=51/58 u_crashes=5
start=65 min=8 target_guess=3 curr=4 chance=0.25000 miss=0/16 total_misses=52/59 u_crashes=5
