Ranges: [0.000040-0.000065, 0.000065-0.000105, 0.000105-0.000171, 0.000171-0.000276, 0.000276-0.000447, 0.000447-0.000723, 0.000723-0.001169, 0.001169-0.001892, 0.001892-0.003061, 0.003061-0.004953, 0.004953-0.008014, 0.008014-0.012967, 0.012967-0.020981, 0.020981-0.033948, 0.033948-0.054929, 0.054929-0.088877, 0.088877-0.143806, 0.143806-0.232684, 0.232684-0.376490, 0.376490-0.609174, 0.609174-0.985664, 0.985664-0.999960]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455, 0.045455]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045413, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457, 0.045457]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043176, 0.043176, 0.043176, 0.043176, 0.054920, 0.069860, 0.054920, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043134, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176, 0.043176]
Range_scores: [0.999038, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043136, 0.043178, 0.043178, 0.043178, 0.054923, 0.069863, 0.054923, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043136, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178, 0.043178]
Range_scores: [0.999038, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043138, 0.043179, 0.043179, 0.043179, 0.054925, 0.069866, 0.054925, 0.043179, 0.043179, 0.043179, 0.043138, 0.043179, 0.043179, 0.043179, 0.043179, 0.043138, 0.043179, 0.043179, 0.043179, 0.043179, 0.043179, 0.043179]
Range_scores: [0.999038, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 500, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043140, 0.043181, 0.043181, 0.043181, 0.054927, 0.069869, 0.054927, 0.043181, 0.043181, 0.043181, 0.043140, 0.043181, 0.043181, 0.043181, 0.043140, 0.043140, 0.043181, 0.043181, 0.043181, 0.043181, 0.043181, 0.043181]
Range_scores: [0.999038, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 1.000000, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 500, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043141, 0.043183, 0.043183, 0.043183, 0.054930, 0.069872, 0.054930, 0.043183, 0.043183, 0.043183, 0.043100, 0.043183, 0.043183, 0.043183, 0.043141, 0.043141, 0.043183, 0.043183, 0.043183, 0.043183, 0.043183, 0.043183]
Range_scores: [0.999038, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 500, 0, 0, 500, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043143, 0.043185, 0.043185, 0.043185, 0.054932, 0.069874, 0.054932, 0.043185, 0.043185, 0.043185, 0.043102, 0.043143, 0.043185, 0.043185, 0.043143, 0.043143, 0.043185, 0.043185, 0.043185, 0.043185, 0.043185, 0.043185]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 0, 0, 0, 0, 0, 1000, 500, 0, 0, 500, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043145, 0.043187, 0.043145, 0.043187, 0.054934, 0.069877, 0.054934, 0.043187, 0.043187, 0.043187, 0.043104, 0.043145, 0.043187, 0.043187, 0.043145, 0.043145, 0.043187, 0.043187, 0.043187, 0.043187, 0.043187, 0.043187]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.618034, 1.272020, 0.999038, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 0, 0, 500, 0, 0, 1000, 500, 0, 0, 500, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043147, 0.043188, 0.043147, 0.043188, 0.054936, 0.069880, 0.054936, 0.043147, 0.043188, 0.043188, 0.043105, 0.043147, 0.043188, 0.043188, 0.043147, 0.043147, 0.043188, 0.043188, 0.043188, 0.043188, 0.043188, 0.043188]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.616478, 1.272020, 0.999038, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 500, 0, 500, 0, 0, 1000, 500, 0, 0, 500, 500, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.043150, 0.043191, 0.043150, 0.043191, 0.054940, 0.069818, 0.054940, 0.043150, 0.043191, 0.043191, 0.043108, 0.043150, 0.043191, 0.043191, 0.043150, 0.043150, 0.043191, 0.043191, 0.043191, 0.043191, 0.043191, 0.043191]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.616478, 1.272020, 0.999038, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038, 0.999038, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 500, 0, 500, 0, 0, 1000, 500, 0, 0, 500, 500, 500, 0, 0, 0, 0, 0]
Range_probabilities: [0.043152, 0.043193, 0.043152, 0.043193, 0.054942, 0.069821, 0.054942, 0.043152, 0.043193, 0.043193, 0.043110, 0.043152, 0.043193, 0.043193, 0.043152, 0.043152, 0.043152, 0.043193, 0.043193, 0.043193, 0.043193, 0.043193]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.616478, 1.272020, 0.999038, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.999038, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 500, 0, 500, 0, 0, 1000, 500, 0, 0, 500, 500, 1000, 0, 0, 0, 0, 0]
Range_probabilities: [0.043153, 0.043195, 0.043153, 0.043195, 0.054945, 0.069824, 0.054945, 0.043153, 0.043195, 0.043195, 0.043112, 0.043153, 0.043195, 0.043195, 0.043153, 0.043153, 0.043112, 0.043195, 0.043195, 0.043195, 0.043195, 0.043195]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.616478, 1.272020, 0.999038, 1.000000, 1.000000, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 500, 0, 500, 0, 0, 1000, 500, 0, 0, 500, 1000, 1000, 0, 0, 0, 0, 0]
Range_probabilities: [0.043155, 0.043197, 0.043155, 0.043197, 0.054947, 0.069826, 0.054947, 0.043155, 0.043197, 0.043197, 0.043114, 0.043155, 0.043197, 0.043197, 0.043155, 0.043114, 0.043114, 0.043197, 0.043197, 0.043197, 0.043197, 0.043197]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.616478, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 500, 0, 500, 0, 500, 1000, 500, 0, 0, 500, 1000, 1000, 0, 0, 0, 0, 0]
Range_probabilities: [0.043157, 0.043198, 0.043157, 0.043198, 0.054949, 0.069829, 0.054949, 0.043157, 0.043198, 0.043157, 0.043115, 0.043157, 0.043198, 0.043198, 0.043157, 0.043115, 0.043115, 0.043198, 0.043198, 0.043198, 0.043198, 0.043198]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 1000, 0, 500, 0, 500, 1000, 500, 0, 0, 500, 1000, 1000, 0, 0, 0, 0, 0]
Range_probabilities: [0.043160, 0.043201, 0.043160, 0.043201, 0.054953, 0.069767, 0.054953, 0.043160, 0.043201, 0.043160, 0.043118, 0.043160, 0.043201, 0.043201, 0.043160, 0.043118, 0.043118, 0.043201, 0.043201, 0.043201, 0.043201, 0.043201]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000, 1.000000, 0.999038, 0.998077, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 1000, 0, 500, 0, 500, 1000, 500, 0, 0, 500, 1000, 1000, 0, 0, 500, 0, 0]
Range_probabilities: [0.043162, 0.043203, 0.043162, 0.043203, 0.054955, 0.069770, 0.054955, 0.043162, 0.043203, 0.043162, 0.043120, 0.043162, 0.043203, 0.043203, 0.043162, 0.043120, 0.043120, 0.043203, 0.043203, 0.043162, 0.043203, 0.043203]
Range_scores: [0.999038, 1.000000, 0.999038, 1.000000, 1.272020, 1.614923, 1.272020, 0.999038, 1.000000, 0.999038, 0.998077, 0.999038, 1.000000, 0.999038, 0.999038, 0.998077, 0.998077, 1.000000, 1.000000, 0.999038, 1.000000, 1.000000]
Miss_counts: [500, 0, 500, 0, 0, 1000, 0, 500, 0, 500, 1000, 500, 0, 500, 500, 1000, 1000, 0, 0, 500, 0, 0]
