Ranges: [0.000049-0.000079, 0.000079-0.000128, 0.000128-0.000207, 0.000207-0.000334, 0.000334-0.000541, 0.000541-0.000875, 0.000875-0.001416, 0.001416-0.002291, 0.002291-0.003707, 0.003707-0.005998, 0.005998-0.009706, 0.009706-0.015704, 0.015704-0.025410, 0.025410-0.041114, 0.041114-0.066524, 0.066524-0.107638, 0.107638-0.174161, 0.174161-0.281799, 0.281799-0.455960, 0.455960-0.737758, 0.737758-0.999951]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619, 0.047619]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.057396, 0.073009, 0.057396, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122, 0.045122]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.272020, 2.058171, 2.058171, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.053762, 0.086988, 0.086988, 0.053762, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265, 0.042265]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.272020, 2.058171, 2.058171, 1.272020, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.040286, 0.040286, 0.040286, 0.040286, 0.040286, 0.051245, 0.065184, 0.051245, 0.040286, 0.040286, 0.051245, 0.082916, 0.082916, 0.051245, 0.040286, 0.040286, 0.040286, 0.040286, 0.040286, 0.040286, 0.040286]
Range_scores: [1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.272020, 2.618034, 3.330191, 1.618034, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.037037, 0.037037, 0.037037, 0.037037, 0.037037, 0.047111, 0.059926, 0.047111, 0.037037, 0.037037, 0.047111, 0.096963, 0.123339, 0.059926, 0.037037, 0.037037, 0.037037, 0.037037, 0.037037, 0.037037, 0.037037]
Range_scores: [1.000000, 1.000000, 1.272020, 1.618034, 1.272020, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.272020, 2.618034, 3.330191, 1.618034, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.035508, 0.035508, 0.045167, 0.057454, 0.045167, 0.045167, 0.057454, 0.045167, 0.035508, 0.035508, 0.045167, 0.092962, 0.118249, 0.057454, 0.035508, 0.035508, 0.035508, 0.035508, 0.035508, 0.035508, 0.035508]
Range_scores: [0.999038, 1.000000, 1.272020, 1.618034, 1.272020, 1.272020, 1.618034, 1.272020, 1.000000, 1.000000, 1.272020, 2.618034, 3.330191, 1.618034, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.035475, 0.035510, 0.045169, 0.057456, 0.045169, 0.045169, 0.057456, 0.045169, 0.035510, 0.035510, 0.045169, 0.092965, 0.118253, 0.057456, 0.035510, 0.035510, 0.035510, 0.035510, 0.035510, 0.035510, 0.035510]
Range_scores: [0.999038, 1.000000, 1.272020, 1.618034, 1.272020, 1.272020, 2.058171, 2.058171, 1.272020, 1.000000, 1.272020, 2.618034, 3.330191, 1.618034, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.033683, 0.033716, 0.042887, 0.054553, 0.042887, 0.042887, 0.069393, 0.069393, 0.042887, 0.033716, 0.042887, 0.088269, 0.112280, 0.054553, 0.033716, 0.033716, 0.033716, 0.033716, 0.033716, 0.033716, 0.033716]
Range_scores: [0.999038, 1.000000, 1.272020, 1.618034, 1.272020, 1.618034, 3.330191, 2.618034, 1.272020, 1.000000, 1.272020, 2.618034, 3.330191, 1.618034, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.031379, 0.031409, 0.039953, 0.050821, 0.039953, 0.050821, 0.104599, 0.082231, 0.039953, 0.031409, 0.039953, 0.082231, 0.104599, 0.050821, 0.031409, 0.031409, 0.031409, 0.031409, 0.031409, 0.031409, 0.031409]
Range_scores: [0.999038, 1.000000, 1.272020, 1.618034, 1.272020, 1.618034, 3.330191, 2.618034, 1.272020, 1.000000, 1.272020, 3.330191, 5.388362, 2.058171, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.028505, 0.028532, 0.036294, 0.046166, 0.036294, 0.046166, 0.095018, 0.074698, 0.036294, 0.028532, 0.036294, 0.095018, 0.153742, 0.058724, 0.028532, 0.028532, 0.028532, 0.028532, 0.028532, 0.028532, 0.028532]
Range_scores: [0.998077, 1.000000, 1.272020, 1.618034, 1.272020, 1.618034, 3.330191, 2.618034, 1.272020, 1.000000, 1.272020, 3.330191, 5.388362, 2.058171, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
Miss_counts: [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Range_probabilities: [0.028478, 0.028533, 0.036295, 0.046167, 0.036295, 0.046167, 0.095020, 0.074700, 0.036295, 0.028533, 0.036295, 0.095020, 0.153746, 0.058726, 0.028533, 0.028533, 0.028533, 0.028533, 0.028533, 0.028533, 0.028533]
Range_scores: [0.998077, 1.000000, 1.272020, 1.618034, 1.272020, 1.618034, 4.236068, 4.236068, 1.618034, 1.000000, 1.272020, 3.330191, 5.388362, 2.058171, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000]
