Minimizer initialized for /home/fuzz/fuzzing/jasper/ie.jpc/ie.jpc.124136 -> /mnt/hgfs/fuzz/seeds/ie.jpc
	confidence level: 0.99900
	starting Hamming Distance is 424
Attempting to minimize crash(es) [8f13faffed71cbed4b0df1de11540d22]
start=424 min=424 target_guess=1 curr=210 chance=0.50000 miss=0/10 total_misses=0/1 u_crashes=0
start=424 min=210 target_guess=1 curr=125 chance=0.50000 miss=0/10 total_misses=0/2 u_crashes=1
start=424 min=210 target_guess=1 curr=104 chance=0.50000 miss=1/10 total_misses=1/3 u_crashes=2
start=424 min=210 target_guess=1 curr=107 chance=0.50000 miss=2/10 total_misses=2/4 u_crashes=2
start=424 min=210 target_guess=1 curr=100 chance=0.50000 miss=3/10 total_misses=3/5 u_crashes=2
start=424 min=210 target_guess=1 curr=110 chance=0.50000 miss=4/10 total_misses=4/6 u_crashes=2
start=424 min=210 target_guess=1 curr=104 chance=0.50000 miss=5/10 total_misses=5/7 u_crashes=2
start=424 min=210 target_guess=1 curr=106 chance=0.50000 miss=6/10 total_misses=6/8 u_crashes=2
start=424 min=210 target_guess=1 curr=108 chance=0.50000 miss=7/10 total_misses=7/9 u_crashes=2
start=424 min=210 target_guess=1 curr=87 chance=0.50000 miss=8/10 total_misses=8/10 u_crashes=2
start=424 min=210 target_guess=1 curr=93 chance=0.50000 miss=9/10 total_misses=9/11 u_crashes=2
start=424 min=210 target_guess=1 curr=107 chance=0.50000 miss=10/10 total_misses=10/12 u_crashes=2
start=424 min=210 target_guess=2 curr=131 chance=0.33333 miss=0/12 total_misses=11/13 u_crashes=2
start=424 min=210 target_guess=2 curr=152 chance=0.33333 miss=1/12 total_misses=12/14 u_crashes=2
start=424 min=152 target_guess=2 curr=94 chance=0.32895 miss=0/12 total_misses=12/15 u_crashes=2
start=424 min=152 target_guess=2 curr=99 chance=0.32895 miss=1/12 total_misses=13/16 u_crashes=2
start=424 min=152 target_guess=2 curr=101 chance=0.32895 miss=2/12 total_misses=14/17 u_crashes=2
start=424 min=152 target_guess=2 curr=100 chance=0.32895 miss=3/12 total_misses=15/18 u_crashes=2
start=424 min=100 target_guess=2 curr=66 chance=0.28000 miss=0/10 total_misses=15/19 u_crashes=2
start=424 min=100 target_guess=2 curr=70 chance=0.28000 miss=1/10 total_misses=16/20 u_crashes=2
start=424 min=70 target_guess=2 curr=44 chance=0.32857 miss=0/12 total_misses=16/21 u_crashes=2
start=424 min=70 target_guess=2 curr=47 chance=0.32857 miss=1/12 total_misses=17/22 u_crashes=2
start=424 min=70 target_guess=2 curr=45 chance=0.32857 miss=2/12 total_misses=18/23 u_crashes=2
start=424 min=45 target_guess=2 curr=30 chance=0.33333 miss=0/12 total_misses=18/24 u_crashes=2
start=424 min=45 target_guess=2 curr=34 chance=0.33333 miss=1/12 total_misses=19/25 u_crashes=2
start=424 min=45 target_guess=2 curr=33 chance=0.33333 miss=2/12 total_misses=20/26 u_crashes=2
start=424 min=45 target_guess=2 curr=24 chance=0.33333 miss=3/12 total_misses=21/27 u_crashes=2
start=424 min=24 target_guess=2 curr=17 chance=0.33333 miss=0/13 total_misses=21/28 u_crashes=2
