Minimizer initialized for /home/fuzz/fuzzing/jasper/ie.jpc/ie.jpc.238240 -> /mnt/hgfs/fuzz/seeds/ie.jpc
	confidence level: 0.99900
	starting Hamming Distance is 335
Attempting to minimize crash(es) [c0f79de90f2fa48480857348ae9c05d4]
start=335 min=335 target_guess=1 curr=170 chance=0.50149 miss=0/11 total_misses=0/1 u_crashes=0
start=335 min=335 target_guess=1 curr=157 chance=0.50149 miss=1/11 total_misses=1/2 u_crashes=1
start=335 min=157 target_guess=1 curr=79 chance=0.50318 miss=0/11 total_misses=1/3 u_crashes=2
start=335 min=157 target_guess=1 curr=73 chance=0.50318 miss=1/11 total_misses=2/4 u_crashes=3
start=335 min=157 target_guess=1 curr=74 chance=0.50318 miss=2/11 total_misses=3/5 u_crashes=4
start=335 min=74 target_guess=1 curr=41 chance=0.50000 miss=0/10 total_misses=3/6 u_crashes=4
start=335 min=74 target_guess=1 curr=36 chance=0.50000 miss=1/10 total_misses=4/7 u_crashes=4
start=335 min=36 target_guess=1 curr=23 chance=0.50000 miss=0/10 total_misses=4/8 u_crashes=4
start=335 min=36 target_guess=1 curr=15 chance=0.50000 miss=1/10 total_misses=5/9 u_crashes=4
start=335 min=36 target_guess=1 curr=18 chance=0.50000 miss=2/10 total_misses=6/10 u_crashes=4
start=335 min=36 target_guess=1 curr=12 chance=0.50000 miss=3/10 total_misses=7/11 u_crashes=4
start=335 min=36 target_guess=1 curr=18 chance=0.50000 miss=4/10 total_misses=8/12 u_crashes=4
start=335 min=36 target_guess=1 curr=24 chance=0.50000 miss=5/10 total_misses=9/13 u_crashes=4
start=335 min=24 target_guess=1 curr=12 chance=0.50000 miss=0/10 total_misses=9/14 u_crashes=4
start=335 min=12 target_guess=1 curr=9 chance=0.50000 miss=0/10 total_misses=9/15 u_crashes=4
start=335 min=12 target_guess=1 curr=7 chance=0.50000 miss=1/10 total_misses=10/16 u_crashes=4
start=335 min=12 target_guess=1 curr=7 chance=0.50000 miss=2/10 total_misses=11/17 u_crashes=4
start=335 min=12 target_guess=1 curr=9 chance=0.50000 miss=3/10 total_misses=12/18 u_crashes=4
start=335 min=12 target_guess=1 curr=9 chance=0.50000 miss=4/10 total_misses=13/19 u_crashes=4
start=335 min=9 target_guess=1 curr=4 chance=0.44444 miss=0/9 total_misses=13/20 u_crashes=4
start=335 min=9 target_guess=1 curr=6 chance=0.44444 miss=1/9 total_misses=14/21 u_crashes=4
start=335 min=9 target_guess=1 curr=5 chance=0.44444 miss=2/9 total_misses=15/22 u_crashes=4
start=335 min=9 target_guess=1 curr=6 chance=0.44444 miss=3/9 total_misses=16/23 u_crashes=4
start=335 min=6 target_guess=1 curr=3 chance=0.50000 miss=0/10 total_misses=16/24 u_crashes=4
start=335 min=6 target_guess=1 curr=2 chance=0.50000 miss=1/10 total_misses=17/25 u_crashes=5
start=335 min=6 target_guess=1 curr=3 chance=0.50000 miss=2/10 total_misses=18/26 u_crashes=5
start=335 min=6 target_guess=1 curr=4 chance=0.50000 miss=3/10 total_misses=19/27 u_crashes=5
start=335 min=6 target_guess=1 curr=5 chance=0.50000 miss=4/10 total_misses=20/28 u_crashes=5
start=335 min=5 target_guess=1 curr=3 chance=0.60000 miss=0/14 total_misses=20/29 u_crashes=5
start=335 min=5 target_guess=1 curr=3 chance=0.60000 miss=1/14 total_misses=21/30 u_crashes=5
start=335 min=5 target_guess=1 curr=2 chance=0.60000 miss=2/14 total_misses=22/31 u_crashes=5
start=335 min=5 target_guess=1 curr=2 chance=0.60000 miss=3/14 total_misses=23/32 u_crashes=5
start=335 min=5 target_guess=1 curr=2 chance=0.60000 miss=4/14 total_misses=24/33 u_crashes=5
start=335 min=5 target_guess=1 curr=2 chance=0.60000 miss=5/14 total_misses=25/34 u_crashes=5
start=335 min=5 target_guess=1 curr=1 chance=0.60000 miss=6/14 total_misses=26/35 u_crashes=5
start=335 min=5 target_guess=1 curr=3 chance=0.60000 miss=7/14 total_misses=27/36 u_crashes=5
start=335 min=5 target_guess=1 curr=2 chance=0.60000 miss=8/14 total_misses=28/37 u_crashes=5
start=335 min=5 target_guess=1 curr=1 chance=0.60000 miss=9/14 total_misses=29/38 u_crashes=5
start=335 min=5 target_guess=1 curr=1 chance=0.60000 miss=10/14 total_misses=30/39 u_crashes=5
start=335 min=5 target_guess=1 curr=3 chance=0.60000 miss=11/14 total_misses=31/40 u_crashes=5
