Minimizer initialized for /home/fuzz/fuzzing/jasper/ie.jpc/ie.jpc.98122 -> /mnt/hgfs/fuzz/seeds/ie.jpc
	confidence level: 0.99900
	starting Hamming Distance is 216
Attempting to minimize crash(es) [e37a85fb4fd2576fe69124e71b2e5a49]
start=216 min=216 target_guess=1 curr=125 chance=0.50000 miss=0/10 total_misses=0/1 u_crashes=0
start=216 min=216 target_guess=1 curr=117 chance=0.50000 miss=1/10 total_misses=1/2 u_crashes=1
start=216 min=216 target_guess=1 curr=112 chance=0.50000 miss=2/10 total_misses=2/3 u_crashes=1
start=216 min=112 target_guess=1 curr=66 chance=0.50000 miss=0/10 total_misses=2/4 u_crashes=2
start=216 min=112 target_guess=1 curr=52 chance=0.50000 miss=1/10 total_misses=3/5 u_crashes=2
start=216 min=112 target_guess=1 curr=63 chance=0.50000 miss=2/10 total_misses=4/6 u_crashes=2
start=216 min=112 target_guess=1 curr=66 chance=0.50000 miss=3/10 total_misses=5/7 u_crashes=2
start=216 min=112 target_guess=1 curr=63 chance=0.50000 miss=4/10 total_misses=6/8 u_crashes=2
start=216 min=112 target_guess=1 curr=55 chance=0.50000 miss=5/10 total_misses=7/9 u_crashes=2
start=216 min=112 target_guess=1 curr=56 chance=0.50000 miss=6/10 total_misses=8/10 u_crashes=2
start=216 min=112 target_guess=1 curr=51 chance=0.50000 miss=7/10 total_misses=9/11 u_crashes=2
start=216 min=112 target_guess=1 curr=64 chance=0.50000 miss=8/10 total_misses=10/12 u_crashes=2
start=216 min=112 target_guess=1 curr=64 chance=0.50000 miss=9/10 total_misses=11/13 u_crashes=2
start=216 min=112 target_guess=1 curr=66 chance=0.50000 miss=10/10 total_misses=12/14 u_crashes=2
start=216 min=66 target_guess=1 curr=36 chance=0.50000 miss=0/10 total_misses=12/15 u_crashes=2
start=216 min=66 target_guess=1 curr=36 chance=0.50000 miss=1/10 total_misses=13/16 u_crashes=2
start=216 min=66 target_guess=1 curr=37 chance=0.50000 miss=2/10 total_misses=14/17 u_crashes=2
start=216 min=37 target_guess=1 curr=18 chance=0.48649 miss=0/10 total_misses=14/18 u_crashes=2
start=216 min=37 target_guess=1 curr=20 chance=0.48649 miss=1/10 total_misses=15/19 u_crashes=2
start=216 min=37 target_guess=1 curr=22 chance=0.48649 miss=2/10 total_misses=16/20 u_crashes=2
start=216 min=37 target_guess=1 curr=19 chance=0.48649 miss=3/10 total_misses=17/21 u_crashes=2
start=216 min=19 target_guess=1 curr=10 chance=0.52632 miss=0/11 total_misses=17/22 u_crashes=2
start=216 min=19 target_guess=1 curr=8 chance=0.52632 miss=1/11 total_misses=18/23 u_crashes=2
start=216 min=19 target_guess=1 curr=14 chance=0.52632 miss=2/11 total_misses=19/24 u_crashes=3
start=216 min=19 target_guess=1 curr=8 chance=0.52632 miss=3/11 total_misses=20/25 u_crashes=3
start=216 min=19 target_guess=1 curr=8 chance=0.52632 miss=4/11 total_misses=21/26 u_crashes=3
start=216 min=19 target_guess=1 curr=10 chance=0.52632 miss=5/11 total_misses=22/27 u_crashes=3
start=216 min=10 target_guess=1 curr=5 chance=0.50000 miss=0/10 total_misses=22/28 u_crashes=3
start=216 min=5 target_guess=1 curr=2 chance=0.60000 miss=0/14 total_misses=22/29 u_crashes=3
start=216 min=5 target_guess=1 curr=1 chance=0.60000 miss=1/14 total_misses=23/30 u_crashes=3
start=216 min=5 target_guess=1 curr=3 chance=0.60000 miss=2/14 total_misses=24/31 u_crashes=3
start=216 min=5 target_guess=1 curr=1 chance=0.60000 miss=3/14 total_misses=25/32 u_crashes=3
start=216 min=5 target_guess=1 curr=3 chance=0.60000 miss=4/14 total_misses=26/33 u_crashes=3
start=216 min=5 target_guess=1 curr=2 chance=0.60000 miss=5/14 total_misses=27/34 u_crashes=3
start=216 min=5 target_guess=1 curr=2 chance=0.60000 miss=6/14 total_misses=28/35 u_crashes=3
start=216 min=5 target_guess=1 curr=1 chance=0.60000 miss=7/14 total_misses=29/36 u_crashes=3
start=216 min=5 target_guess=1 curr=3 chance=0.60000 miss=8/14 total_misses=30/37 u_crashes=3
start=216 min=5 target_guess=1 curr=2 chance=0.60000 miss=9/14 total_misses=31/38 u_crashes=3
start=216 min=5 target_guess=1 curr=2 chance=0.60000 miss=10/14 total_misses=32/39 u_crashes=3
start=216 min=5 target_guess=1 curr=1 chance=0.60000 miss=11/14 total_misses=33/40 u_crashes=3
start=216 min=5 target_guess=1 curr=2 chance=0.60000 miss=12/14 total_misses=34/41 u_crashes=3
start=216 min=5 target_guess=1 curr=1 chance=0.60000 miss=13/14 total_misses=35/42 u_crashes=3
start=216 min=5 target_guess=1 curr=2 chance=0.60000 miss=14/14 total_misses=36/43 u_crashes=3
start=216 min=5 target_guess=2 curr=3 chance=0.20000 miss=0/8 total_misses=37/44 u_crashes=3
start=216 min=5 target_guess=2 curr=4 chance=0.20000 miss=1/8 total_misses=38/45 u_crashes=3
start=216 min=4 target_guess=2 curr=1 chance=0.25000 miss=0/10 total_misses=38/46 u_crashes=3
start=216 min=4 target_guess=2 curr=3 chance=0.25000 miss=1/10 total_misses=39/47 u_crashes=3
start=216 min=4 target_guess=2 curr=3 chance=0.25000 miss=2/10 total_misses=40/48 u_crashes=3
